start time,end time,proportion loud labels,uid,duration
1368622362.0,1368624546.0,0.8126094570928196,u04,2184.0
1368654757.0,1368657451.0,0.6255924170616114,u04,2694.0
1368658307.0,1368660119.0,0.6360964138741916,u04,1812.0
1368665646.0,1368667506.0,0.6386386386386387,u04,1860.0
1368693186.0,1368695011.0,0.6178608515057114,u04,1825.0
1368737415.0,1368739386.0,0.8427458617332035,u04,1971.0
1368740251.0,1368742651.0,0.6356968215158925,u04,2400.0
1368745051.0,1368747451.0,0.7806215722120659,u04,2400.0
1368748342.0,1368750486.0,0.6633766233766234,u04,2144.0
1368789594.0,1368791417.0,0.6286215978928885,u04,1823.0
1368791497.0,1368793985.0,0.6096730245231607,u04,2488.0
1368795502.0,1368797851.0,0.7195050088391279,u04,2349.0
1368817051.0,1368819451.0,0.8291764705882353,u04,2400.0
1368822594.0,1368824677.0,0.9151309408341416,u04,2083.0
1368827068.0,1368828913.0,0.7250163291966035,u04,1845.0
1368828929.0,1368830946.0,0.7033603707995365,u04,2017.0
1369227246.0,1369229106.0,0.6938181818181819,u04,1860.0
1364367546.0,1364369406.0,0.9481037924151696,u18,1860.0
1364370199.0,1364372708.0,0.9184952978056427,u18,2509.0
1364540097.0,1364541909.0,0.6467991169977925,u18,1812.0
1364651596.0,1364653509.0,0.6839677047289504,u18,1913.0
1364653638.0,1364655680.0,0.7610872675250357,u18,2042.0
1364655909.0,1364657722.0,0.6284829721362228,u18,1813.0
1364658007.0,1364660049.0,0.6470588235294117,u18,2042.0
1364665272.0,1364667282.0,0.891459074733096,u18,2010.0
1364674028.0,1364676309.0,0.7691237830319888,u18,2281.0
1364713725.0,1364715767.0,0.734,u18,2042.0
1364725632.0,1364727490.0,0.7158509861212564,u18,1858.0
1364727660.0,1364729532.0,0.6162420382165605,u18,1872.0
1364743266.0,1364745204.0,0.6839999999999999,u18,1938.0
1364801109.0,1364802949.0,0.6726057906458798,u18,1840.0
1364826103.0,1364828145.0,0.6944,u18,2042.0
1364828430.0,1364830757.0,0.6934256055363321,u18,2327.0
1364918662.0,1364920704.0,0.7586993725042783,u18,2042.0
1365006126.0,1365008013.0,0.8502994011976048,u18,1887.0
1365008298.0,1365010339.0,0.6260762607626076,u18,2041.0
1365055607.0,1365057426.0,0.7210743801652892,u18,1819.0
1365146709.0,1365148536.0,0.8404255319148937,u18,1827.0
1365249909.0,1365252309.0,0.6245714285714286,u18,2400.0
1365253349.0,1365270118.0,0.9693961952026469,u18,16769.0
1365486680.0,1365488526.0,0.9516380655226209,u18,1846.0
1365488705.0,1365491398.0,0.7416576964477933,u18,2693.0
1366092598.0,1366094998.0,0.9740103958416634,u18,2400.0
1366095761.0,1366097567.0,0.8579577866514546,u18,1806.0
1366127398.0,1366129798.0,0.7872,u18,2400.0
1366130646.0,1366132650.0,0.6789606035205364,u18,2004.0
1366148766.0,1366150611.0,0.6235370611183355,u18,1845.0
1366488598.0,1366490998.0,0.6229433272394882,u18,2400.0
1366535776.0,1366537626.0,0.61,u18,1850.0
1366721312.0,1366723118.0,0.6569407603890363,u18,1806.0
1366754286.0,1366756198.0,0.7359307359307359,u18,1912.0
1366786974.0,1366788783.0,0.7939001848428835,u18,1809.0
1366883986.0,1366886166.0,0.7920978363123237,u18,2180.0
1367730020.0,1367732420.0,0.6551433389544687,u18,2400.0
1367733186.0,1367735024.0,0.7223823246878002,u18,1838.0
1367736020.0,1367738116.0,0.7149532710280374,u18,2096.0
1367759626.0,1367761446.0,0.6116838487972509,u18,1820.0
1367768420.0,1367770516.0,0.6634681288553804,u18,2096.0
1367854206.0,1367856020.0,0.7172236503856041,u18,1814.0
1367856916.0,1367859620.0,0.8404255319148937,u18,2704.0
1367859666.0,1367861514.0,0.8174791914387634,u18,1848.0
1367867728.0,1367869533.0,0.6842105263157895,u18,1805.0
1367870420.0,1367872821.0,0.6478517270429655,u18,2401.0
1367908820.0,1367910666.0,0.782435129740519,u18,1846.0
1367910916.0,1367913620.0,0.748,u18,2704.0
1367977220.0,1367979620.0,0.6782106782106783,u18,2400.0
1368550956.0,1368552786.0,0.6443825441039925,u18,1830.0
1368562911.0,1368565311.0,0.6386477843764276,u18,2400.0
1368565926.0,1368567781.0,0.602919708029197,u18,1855.0
1368568230.0,1368570066.0,0.6306892067620287,u18,1836.0
1368688512.0,1368690431.0,0.652,u18,1919.0
1368730912.0,1368732966.0,0.7540983606557377,u18,2054.0
1368792112.0,1368794512.0,0.6388443017656501,u18,2400.0
1368795394.0,1368797226.0,0.6023454157782516,u18,1832.0
1368828517.0,1368830356.0,0.8024767801857585,u18,1839.0
1368877312.0,1368879416.0,0.6243756243756244,u18,2104.0
1368904912.0,1368907312.0,0.719412019022914,u18,2400.0
1369071676.0,1369073536.0,0.8010752688172043,u18,1860.0
1369076772.0,1369079099.0,0.6465753424657534,u18,2327.0
1369084804.0,1369087499.0,0.6092324208266238,u18,2695.0
1369169135.0,1369170966.0,0.7774261603375527,u18,1831.0
1369171204.0,1369173901.0,0.6564585787200627,u18,2697.0
1369253099.0,1369255499.0,0.6334405144694534,u18,2400.0
1369255574.0,1369257426.0,0.850259067357513,u18,1852.0
1369257604.0,1369260299.0,0.7538018906699548,u18,2695.0
1369408017.0,1369409837.0,0.6313785224676314,u18,1820.0
1369419057.0,1369420877.0,0.6695319961795607,u18,1820.0
1369435617.0,1369437437.0,0.6848341232227488,u18,1820.0
1369437457.0,1369439277.0,0.7543604651162791,u18,1820.0
1369439297.0,1369441117.0,0.6803797468354431,u18,1820.0
1369476097.0,1369477917.0,0.6236378876781223,u18,1820.0
1369494478.0,1369496298.0,0.654627539503386,u18,1820.0
1364351004.0,1364352812.0,1.0,u59,1808.0
1364352872.0,1364354678.0,1.0,u59,1806.0
1364354738.0,1364356551.0,1.0,u59,1813.0
1364356611.0,1364358465.0,1.0,u59,1854.0
1364358525.0,1364360333.0,1.0,u59,1808.0
1364360400.0,1364362255.0,1.0,u59,1855.0
1364362315.0,1364364128.0,1.0,u59,1813.0
1364364188.0,1364366000.0,1.0,u59,1812.0
1364366060.0,1364367863.0,1.0,u59,1803.0
1364367930.0,1364369737.0,1.0,u59,1807.0
1364369797.0,1364371649.0,0.7381974248927039,u59,1852.0
1364443508.0,1364445312.0,0.778,u59,1804.0
1364445391.0,1364447222.0,1.0,u59,1831.0
1364447282.0,1364449090.0,1.0,u59,1808.0
1364449150.0,1364450995.0,1.0,u59,1845.0
1364451055.0,1364452923.0,1.0,u59,1868.0
1364452983.0,1364454798.0,1.0,u59,1815.0
1364454858.0,1364456699.0,1.0,u59,1841.0
1364456759.0,1364458576.0,1.0,u59,1817.0
1364465020.0,1364466870.0,0.6124567474048443,u59,1850.0
1364475897.0,1364477703.0,0.6149068322981366,u59,1806.0
1364477770.0,1364479596.0,0.6238757154538022,u59,1826.0
1364479656.0,1364481480.0,0.696398891966759,u59,1824.0
1364481540.0,1364483384.0,0.9183142559833507,u59,1844.0
1364483444.0,1364485318.0,0.6349206349206349,u59,1874.0
1364485378.0,1364487187.0,0.6769095697980685,u59,1809.0
1364494043.0,1364495872.0,0.9870641169853769,u59,1829.0
1364505740.0,1364507558.0,0.8840070298769771,u59,1818.0
1364521285.0,1364523127.0,0.644,u59,1842.0
1364523187.0,1364525022.0,1.0,u59,1835.0
1364525082.0,1364526906.0,1.0,u59,1824.0
1364526966.0,1364528774.0,1.0,u59,1808.0
1364528834.0,1364530686.0,1.0,u59,1852.0
1364530746.0,1364532554.0,1.0,u59,1808.0
1364532620.0,1364534424.0,1.0,u59,1804.0
1364534438.0,1364536258.0,1.0,u59,1820.0
1364536318.0,1364538126.0,1.0,u59,1808.0
1364538186.0,1364540014.0,1.0,u59,1828.0
1364540074.0,1364541882.0,1.0,u59,1808.0
1364541942.0,1364543752.0,1.0,u59,1810.0
1364543812.0,1364545618.0,0.8924418604651163,u59,1806.0
1364572112.0,1364573925.0,0.6483279395900755,u59,1813.0
1364573985.0,1364575835.0,0.6447368421052632,u59,1850.0
1364575895.0,1364577746.0,0.6976744186046512,u59,1851.0
1364577806.0,1364579623.0,0.9409571162212554,u59,1817.0
1364579683.0,1364581537.0,0.9001692047377327,u59,1854.0
1364581597.0,1364583431.0,0.932601880877743,u59,1834.0
1364588710.0,1364590551.0,0.9342723004694835,u59,1841.0
1364590612.0,1364592472.0,0.932609937178755,u59,1860.0
1364592533.0,1364594340.0,0.9989384288747346,u59,1807.0
1364594400.0,1364596225.0,0.9931686810299527,u59,1825.0
1364596285.0,1364598112.0,0.9942226890756303,u59,1827.0
1364608813.0,1364610637.0,0.699357851722125,u59,1824.0
1364613546.0,1364615389.0,1.0,u59,1843.0
1364615449.0,1364617257.0,1.0,u59,1808.0
1364617318.0,1364619131.0,1.0,u59,1813.0
1364619191.0,1364621015.0,1.0,u59,1824.0
1364621075.0,1364622884.0,1.0,u59,1809.0
1364622944.0,1364624771.0,1.0,u59,1827.0
1364624831.0,1364626639.0,1.0,u59,1808.0
1364626678.0,1364628508.0,1.0,u59,1830.0
1364628568.0,1364630399.0,1.0,u59,1831.0
1364630460.0,1364632280.0,1.0,u59,1820.0
1364632340.0,1364634199.0,1.0,u59,1859.0
1364634259.0,1364636075.0,1.0,u59,1816.0
1364636135.0,1364637969.0,1.0,u59,1834.0
1364638029.0,1364639854.0,1.0,u59,1825.0
1364639878.0,1364641737.0,1.0,u59,1859.0
1364641797.0,1364643604.0,1.0,u59,1807.0
1364643664.0,1364645499.0,1.0,u59,1835.0
1364645562.0,1364647366.0,1.0,u59,1804.0
1364647426.0,1364649232.0,1.0,u59,1806.0
1364649292.0,1364651147.0,0.9376,u59,1855.0
1364688584.0,1364690423.0,0.7116368286445013,u59,1839.0
1364704256.0,1364706297.0,1.0,u59,2041.0
1364706582.0,1364708423.0,1.0,u59,1841.0
1364708625.0,1364710823.0,1.0,u59,2198.0
