evening indoor mobility,day,uid
0.064390359,135,u25
0.047619048,144,u25
0,145,u25
0,146,u25
0.003064846,148,u25
0.010958497,86,u24
0.024605154,87,u24
0.041603875,88,u24
0.416943428,89,u24
0,90,u24
0,91,u24
0,92,u24
0.464408042,93,u24
0,94,u24
0.135899083,95,u24
0.028495441,96,u24
0.016995963,97,u24
0.013410865,98,u24
0,99,u24
0,100,u24
0.015624131,101,u24
0.124768271,102,u24
0.070240923,103,u24
0.027254216,104,u24
0.102380824,105,u24
0.022898121,106,u24
0.07352049,107,u24
0.046313224,108,u24
0.180857198,109,u24
0.111584435,110,u24
0.038178234,111,u24
0.040091513,112,u24
0.026698326,113,u24
0.202099738,114,u24
0.026160889,115,u24
0.032305887,86,u56
0.023423555,87,u56
0.020742729,91,u56
0.634730539,92,u56
0.015811436,93,u56
0.038339187,94,u56
0.058759591,95,u56
0.098474991,96,u56
0.012430989,97,u56
0.098468661,98,u56
0.038991933,99,u56
0.008914582,100,u56
0.029032784,101,u56
0,102,u56
0.02868226,103,u56
0.023730798,104,u56
0,105,u56
0.006192165,106,u56
0.03117395,107,u56
0.012789834,108,u56
0.018223144,109,u56
0.03851403,110,u56
0.005743434,111,u56
0.086758232,112,u56
0,113,u56
0.005475309,114,u56
0.017604369,115,u56
0.007470127,116,u56
0.020605558,117,u56
0.014095616,118,u56
0.112790469,119,u56
0.141263941,120,u56
0.007257204,121,u56
0.034269414,122,u56
0.019577355,123,u56
0.016087064,133,u56
0.483005367,134,u56
0.004940494,135,u56
0.003746853,136,u56
0.129170843,138,u56
0.027825152,139,u56
0.038842346,140,u56
0.016313342,141,u56
0.009363296,142,u56
0.057227664,143,u56
0.01621153,144,u56
0.055221092,145,u56
0.027505246,146,u56
0.008080374,147,u56
0,148,u56
0.008045147,149,u56
0.038429236,150,u56
0.000795792,87,u39
0,93,u39
0,94,u39
0,95,u39
0,96,u39
0.09202454,99,u39
0,100,u39
0,102,u39
0.004502577,105,u39
0.009984951,114,u39
0.071418736,86,u53
0.019451009,87,u53
0.088177997,88,u53
0.037969877,89,u53
0.118406,90,u53
0.123114183,91,u53
0.000705783,92,u53
0.016932951,93,u53
0.010326161,94,u53
0.020363771,95,u53
0.096804793,96,u53
0.000457427,97,u53
0.02646139,98,u53
0.023266493,99,u53
0.032716135,100,u53
0.015206128,101,u53
0,102,u53
0.023389326,103,u53
0,104,u53
0.024630542,105,u53
0.009097911,107,u53
0.124915068,108,u53
0.048920157,109,u53
0,111,u53
0.001638002,112,u53
0,113,u53
0.010856063,114,u53
0.011981849,115,u53
0.040577717,116,u53
0.000634797,117,u53
0,118,u53
0.024513993,119,u53
0,120,u53
0.02334952,121,u53
0.012813639,122,u53
0.019065223,123,u53
0.062904531,124,u53
0,125,u53
0,126,u53
0,127,u53
0.009531847,128,u53
0.04122672,129,u53
0.171393402,130,u53
0.029643858,131,u53
0,132,u53
0,133,u53
0,134,u53
0.006411941,135,u53
0,136,u53
0.000187817,137,u53
0.002833148,139,u53
0,140,u53
0.017933211,142,u53
0,145,u53
0,146,u53
0,147,u53
0.011551484,148,u53
0.070541043,86,u01
0.110681632,87,u01
0.38071066,88,u01
0.036993402,89,u01
0,90,u01
0.134530971,91,u01
0.11339004,92,u01
0.003204774,93,u01
0.063769382,94,u01
0.039206498,95,u01
0.112835117,96,u01
0.366037736,97,u01
0.10597225,98,u01
0.105445117,99,u01
0.083813785,100,u01
0,101,u01
0.07651913,102,u01
0.150037793,103,u01
0.112300228,104,u01
0,105,u01
0.038342708,106,u01
0.027509653,107,u01
0.13291301,108,u01
0.126096925,109,u01
0,110,u01
0.028239069,111,u01
0.000170518,112,u01
0.09575316,113,u01
0.069150864,114,u01
0.071417809,115,u01
0.111938266,116,u01
0.042338838,117,u01
0,118,u01
0,119,u01
0.031224589,120,u01
0.00477327,121,u01
0,122,u01
0.132100905,123,u01
0.193932118,127,u01
0.00387886,128,u01
0.031820736,129,u01
0.097630693,130,u01
0.135293298,131,u01
0.017793345,132,u01
0.017738756,133,u01
0.001781825,134,u01
0.127309557,135,u01
0.113016648,136,u01
0.097585732,137,u01
0.055961441,138,u01
0.119374785,139,u01
0,140,u01
0.080618212,141,u01
0.115324559,142,u01
0.109153401,143,u01
0.130804447,145,u01
0.119642966,146,u01
0.103597297,147,u01
0.060812411,148,u01
0.000572213,86,u23
0.001358105,87,u23
0,88,u23
0.000117034,89,u23
0.012140314,90,u23
0,91,u23
0.047836538,92,u23
0.000157216,93,u23
0,94,u23
0.00103244,95,u23
0.014032984,96,u23
0,97,u23
0.000295299,98,u23
0.01078843,99,u23
0,100,u23
0.012804771,101,u23
0,102,u23
0.003745318,103,u23
0.011487027,104,u23
0,105,u23
0.008084504,106,u23
0.001258163,107,u23
0.000789973,108,u23
0,109,u23
0,110,u23
0,111,u23
0.000949555,112,u23
0,113,u23
0.012796663,114,u23
0,115,u23
0.000156519,116,u23
0.000592803,117,u23
0.027917424,118,u23
0.000591541,119,u23
0.000286615,120,u23
0.003280033,121,u23
0.000116131,122,u23
0.001232451,123,u23
0.010889399,124,u23
0.012768976,125,u23
0,126,u23
0,127,u23
0,128,u23
0,129,u23
0,130,u23
0.012452786,131,u23
0,132,u23
0,133,u23
0.039064866,134,u23
0,135,u23
0,136,u23
0,137,u23
0,138,u23
0,139,u23
0,140,u23
0,141,u23
0,142,u23
0,87,u50
0.021859222,88,u50
0,89,u50
0.033527786,90,u50
0.038256927,91,u50
0.043920728,92,u50
0,93,u50
0,94,u50
0.151027605,95,u50
0,96,u50
0.009792783,97,u50
0.002592554,98,u50
0,99,u50
0,100,u50
0,101,u50
0,102,u50
0,103,u50
0,104,u50
0.010916463,105,u50
0.00052173,106,u50
0,107,u50
0,108,u50
0,109,u50
0.04044864,110,u50
0,111,u50
0,112,u50
0.015449915,113,u50
0.010294431,114,u50
0,117,u50
0,118,u50
0,119,u50
0,129,u50
0,131,u50
0,132,u50
0,133,u50
0,134,u50
0,135,u50
0.126325088,86,u27
0.026490424,87,u27
0.000273,88,u27
0.012471598,89,u27
0.067463968,90,u27
0.008328175,91,u27
0.027992221,92,u27
0.036369648,93,u27
0,94,u27
0.001012556,95,u27
0.000261794,96,u27
0,97,u27
0,98,u27
0.057511666,99,u27
0.034437403,100,u27
0.048387097,101,u27
0.024912169,102,u27
0.000709861,103,u27
0.079866562,104,u27
0.0200057,105,u27
0.043345204,106,u27
0,107,u27
0.001022802,108,u27
0.026585959,109,u27
0.095089071,110,u27
0.065623346,111,u27
0.014615094,112,u27
0.0679596,113,u27
0.023309384,114,u27
0.006209171,115,u27
0.01826484,116,u27
0.026007109,117,u27
0.025492597,118,u27
0.00229861,119,u27
0.106769252,120,u27
0.022364015,121,u27
0.060912724,122,u27
0.115493296,123,u27
0.000294603,124,u27
0,125,u27
0.00077381,126,u27
0.045425091,127,u27
0.011509938,128,u27
0.002211199,129,u27
0.079930439,130,u27
0.048438496,131,u27
0,132,u27
0.012610679,133,u27
0.194759645,134,u27
0,135,u27
